indice,metodo,km_descricao,km_marco_m,distancia_eixo_m,area_m2,latitude,longitude
179,Apenas manual,9,9500,97.1,237.70733396483,-23.47771481227332,-46.8011980686588
180,Apenas manual,9,9500,86.5,351.881556882914,-23.47768743904843,-46.8012980035099
181,Apenas manual,9,8500,0.3,2621.58028696707,-23.46875986384301,-46.8000078714379
182,Apenas manual,9,9000,10.8,111.529420415092,-23.47249980758913,-46.8010368082531
183,Apenas manual,9,8500,31.5,339.107751925952,-23.46923304987117,-46.7998049487521
184,Apenas manual,9,9000,7.2,253.960924657392,-23.47040886735058,-46.8004844810709
185,Apenas manual,9,9000,108.1,370.578606214401,-23.46966612307154,-46.8013146358362
186,"Spider, com ancoragem",9,9000,28.7,172.562369268276,-23.47324770505967,-46.8014010527
187,Apenas manual,9,9000,121.2,281.132368794848,-23.46974285733363,-46.8014648167662
188,Apenas manual,9,9000,132.2,254.441970461313,-23.46975593366073,-46.8015781589253
189,Apenas manual,9,9000,97.2,396.847069904667,-23.46966624453749,-46.8012044808472
190,Apenas manual,9,9000,97.9,561.086677658104,-23.47029143000491,-46.8013661817155
191,Apenas manual,9,9000,0.4,267.59290581114,-23.47046708658197,-46.8004300005966
192,Apenas manual,9,9000,9.3,185.125045096706,-23.47055052043038,-46.8003530508641
193,Apenas manual,9,9000,141.3,83.11074850197,-23.4710605163057,-46.801991540765
194,Apenas manual,9,9000,132.6,191.05904813978,-23.47109159649027,-46.8019123726812
195,Apenas manual,9,9000,122.4,164.250444521674,-23.47114574153978,-46.8018230971163
196,Apenas manual,9,9500,66.7,742.261141730117,-23.47765295615215,-46.8014881394725
197,Apenas manual,9,8500,43.5,217.983463480749,-23.46924283478058,-46.7996869474819
198,Apenas manual,9,9500,75.1,480.029407395326,-23.47761661978426,-46.8013968628334
199,Apenas manual,9,9000,143.8,105.379976799781,-23.46980532027916,-46.8017068795359
200,Apenas manual,9,9500,7.2,398.408999178435,-23.47440332329553,-46.8013251365418
201,Apenas manual,9,9500,41.4,166.299617907838,-23.47621195044186,-46.8014284467678
202,"Spider, Giro-Zero ou Trator com trincheira",9,9500,5.5,21859.1277978325,-23.47642356961885,-46.8018406530611
203,"Spider, Giro-Zero ou Trator com trincheira",9,9500,9.9,1486.88804713024,-23.47425072450634,-46.8014596963227
204,"Spider, Giro-Zero ou Trator com trincheira",9,10000,11.8,1722.30390027108,-23.47874537546646,-46.8022651909054
205,"Spider, Giro-Zero ou Trator com trincheira",9,9500,46.7,2226.11343305455,-23.47678049554837,-46.8015049261464
206,"Spider, Giro-Zero ou Trator com trincheira",9,9500,20.1,23.9999999911524,-23.47414002034264,-46.8015345850322
207,Trator com braço articulado,9,9000,5.9,2354.90214973574,-23.47352930198458,-46.8011226656241
208,"Spider, Giro-Zero ou Trator com trincheira",9,9000,84.7,3622.62633479177,-23.47046812298199,-46.8012772750801
209,Trator com braço articulado,9,9500,45.4,2628.03482067741,-23.47380118156892,-46.8017052340473
210,Trator com braço articulado,9,10000,20.2,130.807843757681,-23.48066570490414,-46.8025845469306
211,"Spider, Giro-Zero ou Trator com trincheira",9,9000,8.3,4320.1555140032,-23.47072586409385,-46.8005730060414
212,"Spider, Giro-Zero ou Trator com trincheira",9,10000,12.3,3075.08401050298,-23.48092105029851,-46.8027172760811
213,Apenas manual,9,9000,30.2,190.509843611505,-23.47247190009661,-46.8012239966744
214,Apenas manual,9,9500,0.1,875.95116138877,-23.47445714601546,-46.8014122324322
215,Apenas manual,9,9500,15.0,351.530945018473,-23.47433053092036,-46.8012286843232
216,Apenas manual,9,9500,22.6,188.279149506156,-23.47423766711157,-46.8011295959079
